season,team,final_rating
2024,PHI,1787.02
2024,KC,1760.33
2024,DET,1735.56
2024,BUF,1729.75
2024,BAL,1709.5
2024,GB,1657.6
2024,MIN,1657.0
2024,SF,1628.8
2024,PIT,1627.25
2024,WAS,1603.63
2024,TB,1588.03
2024,LA,1583.92
2024,DAL,1582.33
2024,NO,1574.43
2024,DEN,1572.89
2024,LAC,1560.21
2024,HOU,1559.41
2024,CIN,1557.0
2024,SEA,1550.87
2024,MIA,1530.03
2024,CHI,1513.19
2024,IND,1498.43
2024,LV,1493.4
2024,CLE,1484.44
2024,NYJ,1482.64
2024,JAX,1474.89
2024,ATL,1474.85
2024,ARI,1471.63
2024,NYG,1460.73
2024,NE,1441.82
2024,TEN,1432.03
2024,CAR,1360.22
